time_s,E_lag0.00,E_lag0.50,E_lag1.00,S_lag0.00,S_lag0.50,S_lag1.00,C_lag0.00,C_lag0.50,C_lag1.00,y,xhat_QCI,split
48.498000,-1.170788,-1.800787,0.013701,-1.276681,-1.643631,0.607019,-1.402524,-0.900647,0.961999,-1.179410,-1.178030,train
48.998000,-0.555674,-0.940336,-0.182697,-1.170788,-1.800787,0.013701,-1.276681,-1.643631,0.607019,-0.718251,-0.718713,train
49.498000,0.471529,0.039575,0.267688,-0.555674,-0.940336,-0.182697,-1.170788,-1.800787,0.013701,-0.075260,-0.076842,train
49.998000,0.398067,0.359743,0.073041,0.471529,0.039575,0.267688,-0.555674,-0.940336,-0.182697,-0.006117,-0.005924,train
50.498000,-0.119460,-0.203827,0.261560,0.398067,0.359743,0.073041,0.471529,0.039575,0.267688,0.202272,0.200517,train
50.998000,-0.846489,-0.465645,-0.117250,-0.119460,-0.203827,0.261560,0.398067,0.359743,0.073041,-0.235554,-0.234536,train
51.498000,-0.856758,-0.969687,-0.887680,-0.846489,-0.465645,-0.117250,-0.119460,-0.203827,0.261560,-0.083467,-0.084395,train
51.998000,-0.967453,-0.312946,-0.466048,-0.856758,-0.969687,-0.887680,-0.846489,-0.465645,-0.117250,-0.796111,-0.792747,train
52.498000,-0.493017,0.534005,0.364445,-0.967453,-0.312946,-0.466048,-0.856758,-0.969687,-0.887680,-0.542625,-0.542682,train
52.998000,-0.057552,0.916818,1.270671,-0.493017,0.534005,0.364445,-0.967453,-0.312946,-0.466048,0.207922,0.204713,train
53.498000,-0.264021,0.823835,1.111027,-0.057552,0.916818,1.270671,-0.493017,0.534005,0.364445,0.100731,0.100424,train
53.998000,-0.527779,0.976912,0.312570,-0.264021,0.823835,1.111027,-0.057552,0.916818,1.270671,0.379640,0.377247,train
54.498000,-0.852199,1.533269,-0.123337,-0.527779,0.976912,0.312570,-0.264021,0.823835,1.111027,-0.146724,-0.145364,train
54.998000,-0.166579,1.788510,0.081809,-0.852199,1.533269,-0.123337,-0.527779,0.976912,0.312570,0.022402,0.020817,train
55.498000,0.083991,1.191432,0.494019,-0.166579,1.788510,0.081809,-0.852199,1.533269,-0.123337,-0.168660,-0.167991,train
