time_s,E_in_raw,E_in_norm,S_entropy,S_entropy_norm,C_ent_alpha,C_ent_alpha_norm,dQCI_dt,QCI,QCI_smooth
64.498000,0.000000,0.015859,0.745740,0.745740,0.607461,0.607461,-0.362847,2.404266,2.390189
64.998000,0.000000,0.189200,0.712701,0.712701,0.638262,0.638262,-0.107524,2.222843,2.326683
65.498000,0.000000,0.234485,0.709933,0.709933,0.584036,0.584036,-0.108321,2.169081,2.267475
65.998000,0.000000,0.336466,0.703842,0.703842,0.627395,0.627395,0.048526,2.114920,2.207613
66.498000,0.000000,0.233602,0.740374,0.740374,0.517190,0.517190,-0.203500,2.139183,2.150544
66.998000,0.000000,0.167391,0.711691,0.711691,0.650544,0.650544,-0.097500,2.037433,2.098999
67.498000,0.000000,0.199634,0.683205,0.683205,0.595736,0.595736,-0.086703,1.988683,2.064468
67.998000,0.000000,0.304615,0.672364,0.672364,0.588062,0.588062,0.025780,1.945332,2.060575
68.498000,0.000000,0.461309,0.697223,0.697223,0.535343,0.535343,0.103607,1.958222,2.070634
68.998000,0.000000,0.477884,0.688297,0.688297,0.509286,0.509286,0.097870,2.010025,2.084499
69.498000,0.000000,0.478956,0.703753,0.703753,0.680586,0.680586,0.249893,2.058961,2.093990
69.998000,0.000000,0.487649,0.717176,0.717176,0.619448,0.619448,0.171531,2.183907,2.112259
70.498000,0.000000,0.375945,0.719836,0.719836,0.538647,0.538647,-0.032212,2.269672,2.138405
70.998000,0.000000,0.309377,0.708801,0.708801,0.585847,0.585847,-0.038935,2.253567,2.168977
71.498000,0.000000,0.280482,0.691117,0.691117,0.606092,0.606092,-0.027952,2.234099,2.202880
71.998000,0.000000,0.342703,0.710586,0.710586,0.649931,0.649931,0.060035,2.220123,2.242610
72.498000,0.000000,0.265127,0.724620,0.724620,0.686328,0.686328,0.001821,2.250141,2.291410
72.998000,0.000000,0.356217,0.729446,0.729446,0.690747,0.690747,0.092413,2.251051,2.340804
73.498000,0.000000,0.532881,0.711316,0.711316,0.628282,0.628282,0.220121,2.297258,2.384596
73.998000,0.000000,0.625046,0.690446,0.690446,0.585420,0.585420,0.279288,2.407318,2.434609
74.498000,0.000000,0.568094,0.688614,0.688614,0.636996,0.636996,0.261780,2.546962,2.492154
74.998000,0.000000,0.371857,0.710351,0.710351,0.665755,0.665755,0.059476,2.677852,2.562087
75.498000,0.000000,0.367376,0.723946,0.723946,0.719531,0.719531,0.092202,2.707590,2.639105
75.998000,0.000000,0.392195,0.715339,0.715339,0.710235,0.710235,0.111722,2.753691,2.749280
76.498000,0.000000,0.451719,0.721677,0.721677,0.770708,0.770708,0.219795,2.809552,2.884295
76.998000,0.000000,0.458033,0.698500,0.698500,0.734153,0.734153,0.201740,2.919450,3.048447
77.498000,0.000000,0.828825,0.687158,0.687158,0.825347,0.825347,0.664982,3.020320,3.211723
77.998000,0.000000,0.801468,0.674970,0.674970,0.797969,0.797969,0.589186,3.352811,3.389086
78.498000,0.000000,1.000000,0.679417,0.679417,0.847020,0.847020,0.802863,3.647404,3.574782
78.998000,0.000000,0.613679,0.708083,0.708083,0.761063,0.761063,0.261776,4.048835,3.762602
79.498000,0.000000,0.949782,0.675161,0.675161,0.686881,0.686881,0.543529,4.179723,3.946239
79.998000,0.000000,0.663914,0.697524,0.697524,0.704869,0.704869,0.226110,4.451488,4.120907
80.498000,0.000000,0.661601,0.704316,0.704316,0.633884,0.633884,0.134715,4.564543,4.298404
80.998000,0.000000,0.538641,0.702650,0.702650,0.655228,0.655228,0.028030,4.631900,4.441532
81.498000,0.000000,0.594242,0.739953,0.739953,0.650732,0.650732,0.040429,4.645915,4.568727
81.998000,0.000000,0.802380,0.707392,0.707392,0.629958,0.629958,0.258333,4.666130,4.657295
82.498000,0.000000,0.587424,0.723240,0.723240,0.592925,0.592925,-0.022421,4.795296,4.730458
82.998000,0.000000,0.759263,0.683960,0.683960,0.673642,0.673642,0.270537,4.784086,4.762160
83.498000,0.000000,0.555057,0.715638,0.715638,0.682830,0.682830,0.030314,4.919354,4.768410
83.998000,0.000000,0.481310,0.718953,0.718953,0.684785,0.684785,-0.046310,4.934511,4.761343
84.498000,0.000000,0.260458,0.743036,0.743036,0.688019,0.688019,-0.285695,4.911356,4.742339
84.998000,0.000000,0.268555,0.727668,0.727668,0.653045,0.653045,-0.282919,4.768508,4.725609
85.498000,0.000000,0.373662,0.718777,0.718777,0.676172,0.676172,-0.131648,4.627049,4.693626
85.998000,0.000000,0.360730,0.710330,0.710330,0.595018,0.595018,-0.210704,4.561225,4.665441
86.498000,0.000000,0.535539,0.705942,0.705942,0.701905,0.701905,0.085915,4.455873,4.605862
86.998000,0.000000,0.479942,0.717510,0.717510,0.640725,0.640725,-0.046726,4.498830,4.528221
87.498000,0.000000,0.547167,0.713830,0.713830,0.667748,0.667748,0.053538,4.475467,4.429312
87.998000,0.000000,0.232823,0.745569,0.745569,0.605631,0.605631,-0.357338,4.502236,4.344555
88.498000,0.000000,0.217998,0.766239,0.766239,0.649654,0.649654,-0.330943,4.323567,4.274033
88.998000,0.000000,0.144422,0.794738,0.794738,0.594462,0.594462,-0.471663,4.158096,4.212112
89.498000,0.000000,0.420067,0.761810,0.761810,0.731333,0.731333,-0.002636,3.922264,4.169042
89.998000,0.000000,0.393659,0.726883,0.726883,0.727081,0.727081,0.001763,3.920946,4.149100
90.498000,0.000000,0.368877,0.707212,0.707212,0.770879,0.770879,0.040362,3.921828,4.159875
90.998000,0.000000,0.441207,0.688412,0.688412,0.807738,0.807738,0.166332,3.942009,4.185853
91.498000,0.000000,0.865492,0.695272,0.695272,0.780771,0.780771,0.548473,4.025175,4.225323
91.998000,0.000000,0.941329,0.690289,0.690289,0.746504,0.746504,0.567604,4.299411,4.289399
92.498000,0.000000,0.776963,0.714373,0.714373,0.753352,0.753352,0.357621,4.583213,4.385375
92.998000,0.000000,0.435186,0.746389,0.746389,0.699887,0.699887,-0.087518,4.762023,4.498615
93.498000,0.000000,0.580566,0.720293,0.720293,0.772742,0.772742,0.161189,4.718264,4.632937
93.998000,0.000000,0.593139,0.688697,0.688697,0.741770,0.741770,0.166327,4.798859,4.789610
94.498000,0.000000,0.789016,0.694192,0.694192,0.736030,0.736030,0.342652,4.882022,4.948829
94.998000,0.000000,0.925185,0.714635,0.714635,0.718172,0.718172,0.423387,5.053348,5.071567
95.498000,0.000000,1.000000,0.716834,0.716834,0.730743,0.730743,0.487405,5.265041,5.142926
95.998000,0.000000,0.761759,0.714420,0.714420,0.720777,0.720777,0.217241,5.508744,5.172375
96.498000,0.000000,0.495199,0.729320,0.729320,0.614714,0.614714,-0.181143,5.617364,5.185713
96.998000,0.000000,0.339860,0.757577,0.757577,0.510413,0.510413,-0.459983,5.526793,5.186841
97.498000,0.000000,0.366208,0.739256,0.739256,0.422143,0.422143,-0.480584,5.296801,5.175336
97.998000,0.000000,0.403238,0.720599,0.720599,0.413294,0.413294,-0.409718,5.056509,5.140283
98.498000,0.000000,0.608282,0.699061,0.699061,0.492926,0.492926,-0.083019,4.851650,5.063960
98.998000,0.000000,0.582011,0.700985,0.700985,0.513650,0.513650,-0.086338,4.810141,4.953173
99.498000,0.000000,0.519563,0.699689,0.699689,0.528517,0.528517,-0.128307,4.766972,4.833209
99.998000,0.000000,0.351640,0.721666,0.721666,0.438287,0.438287,-0.402021,4.702819,4.750259
100.498000,0.000000,0.466893,0.711011,0.711011,0.492424,0.492424,-0.201874,4.501808,4.714084
100.998000,0.000000,0.637186,0.690207,0.690207,0.526809,0.526809,0.033702,4.400871,4.718832
101.498000,0.000000,1.000000,0.659900,0.659900,0.660814,0.660814,0.559142,4.417722,4.718355
